LOCAL FILE,GITHUB DESTINATION,ACTION,REASON,MODE,LOCAL GIT BLOB,GITHUB MAIN BLOB,BYTES
data/dubai/raw_transaction_counts.parquet,data/dubai/raw_transaction_counts.parquet,EXCLUDE,Retain current GitHub main file unchanged; do not upload a local replacement.,RETAIN_MAIN,e17e81de20ed7d5f803b8eabe9db31864b9d0583,e17e81de20ed7d5f803b8eabe9db31864b9d0583,6726
data/intelligence/.gitkeep,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,,0
data/production_intelligence/.refresh.lock,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,,0
data/production_intelligence/builds/92b27d2948e19c262e6934bf259e3794bed4c2817f837b4a07ce8267a8a74932/intelligence.db,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,f6000975f1e0ae363540c62450e7e4e86e12fc6b,,2170880
data/production_intelligence/builds/92b27d2948e19c262e6934bf259e3794bed4c2817f837b4a07ce8267a8a74932/intelligence.db-shm,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,fe9ac2845eca6fe6da8a63cd096d9cf9e24ece10,,32768
data/production_intelligence/builds/92b27d2948e19c262e6934bf259e3794bed4c2817f837b4a07ce8267a8a74932/intelligence.db-wal,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,,0
data/production_intelligence/builds/92b27d2948e19c262e6934bf259e3794bed4c2817f837b4a07ce8267a8a74932/manifest.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,3ed9c6022516595ec1ae1dd333cc85895763c4d2,,49625
data/production_intelligence/current.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,29cb417c7dc7947909f38a104e311872d57eeb40,,81
data/production_intelligence/receipts.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,d9c375eb9e1b08b067cd8f10b7a9b09b41d3d4b1,,46833
data/production_intelligence/runs/20260908T182203Z-a2f03052/fetch.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,d28e098b4590fe0ed84077f80b5582e034bb3040,,5127
data/production_intelligence/runs/20260908T182203Z-a2f03052/intelligence.db,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,6fdbaa4fc7467b717311bbd68d8a5fa10db80096,,663552
data/production_intelligence/runs/20260908T182203Z-a2f03052/manifest.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,eea9ae488d8415591d78990225b2e4a22088059f,,425
data/production_intelligence/runs/20260908T182203Z-a2f03052/pipeline.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,81b6d1a99daafd0a7a418981b8c0afa6ab6b2991,,8510
data/production_intelligence/runs/20260908T182203Z-a2f03052/registry.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,7e0438025d1d4f570f047a373057b4a38f98a771,,22264
data/production_intelligence/runs/20260908T182221Z-641f39be/fetch.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,a90f5f0ca2f68cce444b142949c3b22118c5f2f3,,4498
data/production_intelligence/runs/20260908T182221Z-641f39be/intelligence.db,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,f6000975f1e0ae363540c62450e7e4e86e12fc6b,,2170880
data/production_intelligence/runs/20260908T182221Z-641f39be/intelligence.db-shm,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,fe9ac2845eca6fe6da8a63cd096d9cf9e24ece10,,32768
data/production_intelligence/runs/20260908T182221Z-641f39be/intelligence.db-wal,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,,0
data/production_intelligence/runs/20260908T182221Z-641f39be/manifest.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,3ed9c6022516595ec1ae1dd333cc85895763c4d2,,49625
data/production_intelligence/runs/20260908T182221Z-641f39be/pipeline.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,5f3e664ac8932199a122f0e45df4782e66317872,,8558
data/production_intelligence/runs/20260908T182221Z-641f39be/publication_recovery.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e0b241e552891b2ad65429ee268985527be2b7ef,,290
data/production_intelligence/runs/20260908T182221Z-641f39be/registry.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,7e0438025d1d4f570f047a373057b4a38f98a771,,22264
data/production_intelligence/work/.intelligence.db.clean.lock,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,,0
data/production_intelligence/work/.intelligence.db.dedupe.lock,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,,0
data/production_intelligence/work/.intelligence.db.entities.lock,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,,0
data/production_intelligence/work/.intelligence.db.events.lock,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,,0
data/production_intelligence/work/.intelligence.db.intelligence.lock,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,,0
data/production_intelligence/work/.intelligence.db.metrics.lock,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,,0
data/production_intelligence/work/.intelligence.db.relevance.lock,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,,0
data/production_intelligence/work/.intelligence.db.uae_relevance.lock,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,,0
data/production_intelligence/work/intelligence.db,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,a673aedd28e461ed2a247b2172d13529439b2595,,2170880
data/production_intelligence/work/intelligence.db-shm,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,fe9ac2845eca6fe6da8a63cd096d9cf9e24ece10,,32768
data/production_intelligence/work/intelligence.db-wal,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,,0
data/production_intelligence/work/raw_articles/.append.lock,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,,0
data/production_intelligence/work/raw_articles/2026-09-08.jsonl,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,7317009585113f7ef0a9caeef50c389611a69368,,2193223
deploy/requirements-intelligence.lock,deploy/requirements-intelligence.lock,ADD,"Fourteen exact Linux/Python 3.12 dependency versions and wheel hashes, including transitive packages.",SOURCE,bde16a267b01529e30910cf337fa0af351755812,,1500
deploy/stage18_refresh.cron.example,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,c7af4a92a356bc0c77843a8569d9e42734519403,,922
docs/ARCHITECTURE.md,docs/ARCHITECTURE.md,EXCLUDE,Retain current GitHub main file unchanged; do not upload a local replacement.,RETAIN_MAIN,5cd0422d604c44020b88731d4f4c693b282a4068,5cd0422d604c44020b88731d4f4c693b282a4068,14910
docs/CHECKLIST.md,docs/CHECKLIST.md,EXCLUDE,Retain current GitHub main file unchanged; do not upload a local replacement.,RETAIN_MAIN,5a858d5a258432fb42d1bc2dc3b0207f90653a31,5a858d5a258432fb42d1bc2dc3b0207f90653a31,25019
docs/Dashboard_Changes_and_Solutions.md,docs/Dashboard_Changes_and_Solutions.md,EXCLUDE,Retain current GitHub main file unchanged; do not upload a local replacement.,RETAIN_MAIN,76f9f7f30135336b49216fbd13c1be6a5e1557d0,76f9f7f30135336b49216fbd13c1be6a5e1557d0,17209
docs/Dashboard_Code_Explanation.md,docs/Dashboard_Code_Explanation.md,EXCLUDE,Retain current GitHub main file unchanged; do not upload a local replacement.,RETAIN_MAIN,fcf64345e56a73a0f8bfe13c672667af63fc8dcf,fcf64345e56a73a0f8bfe13c672667af63fc8dcf,15341
docs/Dubai_Analytics_Chart_Reference_Guide.docx,docs/Dubai_Analytics_Chart_Reference_Guide.docx,EXCLUDE,Retain current GitHub main file unchanged; do not upload a local replacement.,RETAIN_MAIN,73bab9a8bd172b30bf46cd5e808ff267a737a619,73bab9a8bd172b30bf46cd5e808ff267a737a619,83583
docs/Dubai_Analytics_Chart_Reference_Guide.pdf,docs/Dubai_Analytics_Chart_Reference_Guide.pdf,EXCLUDE,Retain current GitHub main file unchanged; do not upload a local replacement.,RETAIN_MAIN,5b57a54cbdecae35905904630d87e2ad8318573d,5b57a54cbdecae35905904630d87e2ad8318573d,1254763
docs/INTEGRATION_CHANGES.md,docs/INTEGRATION_CHANGES.md,EXCLUDE,Retain current GitHub main file unchanged; do not upload a local replacement.,RETAIN_MAIN,72c64ff22ca42d2d56cd0dfe92154bf6326e6d62,72c64ff22ca42d2d56cd0dfe92154bf6326e6d62,22635
docs/Unified_Dashboard_Graph_and_Code_Explanation.md,docs/Unified_Dashboard_Graph_and_Code_Explanation.md,EXCLUDE,Retain current GitHub main file unchanged; do not upload a local replacement.,RETAIN_MAIN,df8506ddbd769b2261377497f422b34d186a4621,df8506ddbd769b2261377497f422b34d186a4621,118053
intelligence/DEPLOYMENT_PREREQUISITES_REPORT.md,intelligence/DEPLOYMENT_PREREQUISITES_REPORT.md,ADD,"Final local implementation, tests, exclusions, operator actions and readiness evidence.",SOURCE,f0c4b70616e9e65aad3f57789f887423c18970b4,,11430
intelligence/GITHUB_SYNCHRONIZATION_PLAN.csv,intelligence/GITHUB_SYNCHRONIZATION_PLAN.csv,ADD,Reviewed deployment/synchronization documentation; no credentials or runtime data.,SOURCE,,,
intelligence/GITHUB_SYNCHRONIZATION_PLAN.md,intelligence/GITHUB_SYNCHRONIZATION_PLAN.md,ADD,Reviewed deployment/synchronization documentation; no credentials or runtime data.,SOURCE,71c954d45a067918eaa5b3114f0a6550bcd54478,,30171
intelligence/PRODUCTION_DEPLOYMENT.md,intelligence/PRODUCTION_DEPLOYMENT.md,ADD,Reviewed deployment/synchronization documentation; no credentials or runtime data.,SOURCE,6f74beb238c1761261c4351dab6870bd99de4770,,8906
intelligence/PRODUCTION_DEPLOYMENT_CLOSURE_REPORT.md,intelligence/PRODUCTION_DEPLOYMENT_CLOSURE_REPORT.md,ADD,Reviewed deployment/synchronization documentation; no credentials or runtime data.,SOURCE,adc321a839f384e70cf2ba28f472b30770633566,,727
intelligence/STAGE13_REPORT.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,2c61f34b3eca9bd5c90f70b31cf0a65f9d946e8b,,32800
intelligence/STAGE14_REPORT.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,6503b90847b6386a6d399b42cc4f87a5bdd381fe,,161189
intelligence/STAGE15_FAILURE_ANALYSIS.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,ca31071e4b4cb3f1345b7997c4b83d6329bdff40,,12148
intelligence/STAGE15_FINAL_QUALIFICATION.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,c69247dc06b2eb73e5d36c74e6c59255fd3d9207,,10653
intelligence/STAGE15_MODEL_PROMPT_BENCHMARK.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,10f8e6f85597be51ac0643682c2422c1b531eed6,,40127
intelligence/STAGE15_MODEL_PROMPT_BENCHMARK_ROUND1.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,4fe52ee6f44da29712a281b35d9da9cb3842a08b,,19080
intelligence/STAGE15_MVP_CLOSURE.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,08266f2b0eb1d27ff9c7799a9769fb2c23a33289,,6970
intelligence/STAGE15_OPENROUTER_BENCHMARK.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,38f9848e6ed580c3da2cf205b89016a7e60eb2d2,,23622
intelligence/STAGE15_OPENROUTER_RECOVERY.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,c1051eb1940fac6ec44751c0d52e181f89070892,,5834
intelligence/STAGE15_OPENROUTER_SETUP.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,2eed5f2732f60d70b9f31e360f6e9f80b5570dd6,,5314
intelligence/STAGE15_QWEN_CONTINUATION.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,75612a854d6afcba496eb8dbeb1bfab8df6cfc8b,,11000
intelligence/STAGE15_QWEN_CONTINUATION_PRE_FREED_RETRY.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,03c900bdd3fd8fa4fa3bb8c3db7bd858b2d45793,,8434
intelligence/STAGE15_SCORER_AUDIT.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,8269cc0628e83d6492965a8bdb6033fc11dbcb93,,4543
intelligence/STAGE15_SMALL_MODEL_BENCHMARK.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,9dcd3019b7da12e5580a92b182e83e5ad32d4c9f,,18696
intelligence/STAGE16_REPORT.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,6f4c17234720432c4fa941e49d5ae225827f7c06,,44074
intelligence/STAGE17_SYSTEM_TEST_REPORT.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,b83b2c01a5bcc37732e356224b9cdf1f78359b56,,33588
intelligence/STAGE17_UI_HANDOFF.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,eb50566412df4d47764eb4c16e6563da3fbb6347,,7602
intelligence/STAGE18_FINAL_INTEGRATION_REPORT.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,25bc73a3b35b28f95d97b48cea2936c71a82b9a3,,24182
intelligence/STAGE18_PRODUCTION_DATA_REPORT.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,f080cc7aa6b631e8f49681377f22b4f42d88437e,,14371
intelligence/STAGE8_AUDIT.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,2627b94b4b536b3f0ecf4d851e2729a988f075d9,,5845
intelligence/STAGE8_REPORT.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,60d4da13a6cb3abc75c697aad6428cde1461378a,,22232
intelligence/STREAMLIT_DEPLOYMENT_PLAN.md,intelligence/STREAMLIT_DEPLOYMENT_PLAN.md,ADD,Reviewed deployment/synchronization documentation; no credentials or runtime data.,SOURCE,687cf661d07e1c79019ab2cc7af5fe91a96a7b18,,2754
intelligence/__init__.py,intelligence/__init__.py,ADD,Completed production backend dependency or its module contract; preserve algorithm and selected model unchanged.,SOURCE,3abebedf0069379c48498bcc74c55f18d6a09ad3,,429
intelligence/answer_engine/README.md,intelligence/answer_engine/README.md,ADD,Completed production backend dependency or its module contract; preserve algorithm and selected model unchanged.,SOURCE,12d568f0060c60e67bf1ae93997592ba94e37462,,5453
intelligence/answer_engine/__init__.py,intelligence/answer_engine/__init__.py,ADD,Completed production backend dependency or its module contract; preserve algorithm and selected model unchanged.,SOURCE,d4b67c71961beeddc7f93b9a393a6eb9ed41af5d,,247
intelligence/answer_engine/engine.py,intelligence/answer_engine/engine.py,ADD,Completed production backend dependency or its module contract; preserve algorithm and selected model unchanged.,SOURCE,092c26ffa863973167de2879f85c9af00ac2160d,,9441
intelligence/answer_engine/models.py,intelligence/answer_engine/models.py,ADD,Completed production backend dependency or its module contract; preserve algorithm and selected model unchanged.,SOURCE,65daaa7c69189b57958b3a76d32289e5eeb82228,,3971
intelligence/answer_engine/prompt.py,intelligence/answer_engine/prompt.py,ADD,Completed production backend dependency or its module contract; preserve algorithm and selected model unchanged.,SOURCE,3864a63447b735959654619f4a38d352218eed23,,2249
intelligence/answer_engine/rendering.py,intelligence/answer_engine/rendering.py,ADD,Completed production backend dependency or its module contract; preserve algorithm and selected model unchanged.,SOURCE,9b3384bb0ce2167dde6b93934fa0108ddc5b88b8,,4657
intelligence/answer_engine/retrieval.py,intelligence/answer_engine/retrieval.py,ADD,Completed production backend dependency or its module contract; preserve algorithm and selected model unchanged.,SOURCE,29f2741749ba9d8ee2f8f88ed8359ba1a7227b74,,9637
intelligence/benchmarks/STAGE15_CONTINUATION_PROTOCOL.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,30fe5d2da43a49d332c44e3722de1a5648753e49,,3886
intelligence/benchmarks/STAGE15_CONTROLLED_RETRY_PROTOCOL.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,fbd74a7461024da2462038cf3312fb28d30d98db,,2029
intelligence/benchmarks/STAGE15_FINAL_QUALIFICATION_PROTOCOL.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e4de452dd05717efdc1aab974421b0c23fb7e725,,3831
intelligence/benchmarks/STAGE15_OPENROUTER_PROTOCOL.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,9b2c2cef7267f788744d124eb2a15302c5d69ab5,,4995
intelligence/benchmarks/STAGE15_OPENROUTER_RECOVERY_AUTHORIZATION.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,41292d603170c2721e0535108e4c0f7e920798ff,,1736
intelligence/benchmarks/STAGE15_OPENROUTER_SCORER_AUDIT.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,0c5b711472898f77b58cfa0f4418f7604f3b3701,,2903
intelligence/benchmarks/STAGE15_OPENROUTER_T28_AUTHORIZATION.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,11ddf797c94952c941ea7fdba62582867ef5c25b,,1250
intelligence/benchmarks/STAGE15_PROMPT_CONTRACT_REVISION.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,13b1b2bc03c32e48dee2ca4ad587d4cf110526e2,,1892
intelligence/benchmarks/STAGE15_PROTOCOL.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,0bec3bf5ea8922ffe2eeda836ab880986abced41,,5650
intelligence/benchmarks/STAGE15_PROTOCOL_INITIAL.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,f491ae335b6bcd4a78b63420926819526b4d1fb1,,3951
intelligence/benchmarks/STAGE15_PROVENANCE_BINDING_AUDIT.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,02bfbc7838b7e1b99352ea20c853c913a9c10c88,,2885
intelligence/benchmarks/STAGE15_SMALL_MODELS_PROTOCOL.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,016c3c679c7a40e8734d9bba9f907c18c94d2ed9,,4112
intelligence/benchmarks/STAGE15_T34_FINAL_CONTRACT_AUDIT.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,51898d0694e83757088da538d8d1a568ab84f342,,4333
intelligence/benchmarks/STAGE15_TARGETED_COMPLETION.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,04a81b77a889a7d8af01fa0d1fd1e2e27d32d8ca,,7299
intelligence/benchmarks/STAGE15_TARGETED_PROTOCOL.md,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,4d5a07cebf3dad584f7593669b01f36a440c8562,,5259
intelligence/benchmarks/__init__.py,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,9b1f03c83d681d68c5583877faa8a5a4bc29f3d1,,62
intelligence/benchmarks/stage15_continuation_before.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,cd473c084962edac498ff34392763d74fb8303b1,,42778
intelligence/benchmarks/stage15_continuation_evaluate.py,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,e60747f865ca8869aa9584b098711455b864a91a,,11783
intelligence/benchmarks/stage15_continuation_experiments.csv,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,b6516a42e970896b7dadec5af400e6bfa66baaca,,640
intelligence/benchmarks/stage15_continuation_experiments_pre_freed_retry.csv,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,3d9c8387cbc0f71ce94662992183dafd2b37b4a2,,384
intelligence/benchmarks/stage15_continuation_failure_analysis.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,bbe6fbe41d8a4a31160fac27d648bcd892fe7011,,13635
intelligence/benchmarks/stage15_continuation_preservation.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,ac3ef9dce840174f12475231f7a25270d3cc485d,,387
intelligence/benchmarks/stage15_continuation_prompts.py,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,b5b7e115476799d73690c90aa1b7b1ce9247483c,,3727
intelligence/benchmarks/stage15_continuation_report.py,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,7c33272e6382baf1613567bee4273b8fd85a827e,,14918
intelligence/benchmarks/stage15_continuation_results.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,b521dd830dff477c2a659fd506bf9b485a9009bf,,76483
intelligence/benchmarks/stage15_continuation_retry_preflight.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,947c38230fcaab21632df7feb3d88b95a37b5663,,944
intelligence/benchmarks/stage15_continuation_retry_results.json,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,1d66cf81c80856781e6504582655f95abdba2920,,8396
intelligence/benchmarks/stage15_continuation_retry_run.py,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,0bb1076dbc23b32b0ff78b8bf65980cb98db9096,,7732
