,meter_sale_price,procedure_area,rooms_en,floor_bin,swimming_pool,balcony,elevator,metro,has_parking,area_name_en,instance_date
252476,10963.06,59.29,1 B/R,Below 1st floor,0,1,1,1,1,Al Barsha South Fifth,2024-03-25
99571,11121.86,33.07,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-26
16195,8751.73,43.42,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2023-12-11
120318,15432.08,68.18,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-06-03
242707,11679.11,51.79,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2023-02-20
267108,13760.05,82.2,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-02-07
269651,19797.47,39.5,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-04-04
286370,13808.62,57.79,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-06-12
10966,12948.81,57.43,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-04-17
145059,15650.44,36.36,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-05-16
223027,11347.98,51.06,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2022-10-28
107827,8142.85,171.93,3 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-09-27
218948,10406.18,81.49,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-26
150007,16139.41,69.94,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-04-22
159751,13235.07,59.82,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2023-11-29
164538,11173.79,76.41,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-10-13
25948,19011.22,30.03,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-06-03
16066,15763.91,55.14,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-10-08
2856,14647.5,62.12,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-12-05
142843,22277.38,32.23,Studio,51-60,1,1,1,1,1,Al Barsha South Fifth,2023-08-29
313283,21856.86,42.51,Studio,41-50,1,1,1,1,1,Al Barsha South Fifth,2023-08-16
133824,8557.46,40.9,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-12-11
257225,19716.57,31.27,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-01-28
67850,13223.45,73.42,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-06-13
235451,15934.77,39.94,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-09-25
149969,15077.93,60.58,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-01-27
55887,18022.61,67.15,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-10-21
6659,8341.68,119.88,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-09
154879,16494.67,30.04,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-02
198928,11840.3,99.33,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2022-12-28
276656,13732.06,57.98,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2023-10-27
16044,11228.95,80.15,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-02-12
65936,5985.98,58.61,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-03-14
115464,18593.91,35.46,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-09-25
162441,21006.52,49.08,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-08-16
279275,21165.34,40.16,Studio,31-40,1,1,1,1,1,Al Barsha South Fifth,2023-08-21
262084,10694.5,77.61,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2022-11-03
105691,14515.73,130.15,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-10-08
223472,13749.6,77.15,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-07-04
266948,15719.66,95.74,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-23
132127,20378.46,34.35,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2022-02-08
70937,15142.57,57.98,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-05-31
266956,12347.57,36.89,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-23
171177,16173.31,34.58,Studio,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-03-18
127971,17457.11,81.03,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-10-16
70934,16230.03,31.3,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-03-11
252428,19061.01,29.42,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-06-20
127972,22167.37,42.54,Studio,31-40,1,1,1,1,1,Al Barsha South Fifth,2023-08-16
305954,12246.87,41.48,Studio,21-30,1,1,1,1,1,Al Barsha South Fifth,2022-04-05
203877,10144.34,44.01,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-02-14
186201,12991.27,75.41,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-07-15
150029,14920.47,76.42,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-09-05
232888,9923.92,90.69,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-01-11
228000,15669.9,65.49,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-17
130245,10372.15,41.65,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-09-30
242726,16790.79,68.18,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-05-15
21073,12777.03,36.28,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-06
287077,10119.99,69.17,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-02
55900,11592.29,90.17,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-10-29
108711,10783.8,95.05,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-05-27
37341,16982.78,113.34,2 B/R,1-10,1,1,1,0,1,Al Barsha South Fifth,2024-06-21
66540,16637.79,55.83,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-03-05
296068,10591.49,61.37,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-03
242709,13183.09,51.28,1 B/R,21-30,0,1,1,1,1,Al Barsha South Fifth,2024-11-28
3696,21077.57,42.54,Studio,31-40,1,1,1,1,1,Al Barsha South Fifth,2023-09-11
869,9971.82,92.26,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-04-30
60863,16840.6,60.57,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-11-25
10939,15887.73,94.59,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-02-28
122863,13541.85,97.59,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-12-27
115452,16485.93,69.02,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-05-02
196705,18629.92,99.41,2 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2023-09-05
257325,4444.88,43.45,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2023-11-29
154887,14675.63,81.83,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-05-22
194062,13223.55,90.18,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-07-24
201544,22649.71,32.23,Studio,51-60,1,1,1,1,1,Al Barsha South Fifth,2023-09-12
91282,19163.65,34.33,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-05-15
53676,17700.92,49.15,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-07-18
10963,6725.15,102.6,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-08-26
213411,17711.31,29.89,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-11-25
149999,15047.02,63.8,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-08-07
90739,16676.79,61.15,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-03-14
196662,6439.34,68.33,Studio,1-10,1,1,0,1,1,Al Barsha South Fifth,2025-05-08
23731,9192.93,41.88,Studio,Below 1st floor,1,1,0,1,1,Al Barsha South Fifth,2023-02-09
24803,16971.89,71.65,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-04-17
130254,12943.64,106.68,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-09-11
271809,8182.04,124.37,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-05-26
204185,14451.18,116.18,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-04-24
147682,16184.33,39.94,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-22
245482,18118.49,136.38,3 B/R,31-40,1,1,1,1,1,Al Barsha South Fifth,2023-11-27
147826,20347.34,42.61,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2023-10-19
203766,7762.95,42.6,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-10-20
55880,10336.44,98.68,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2022-11-23
80863,8641.87,118.03,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2022-06-06
305796,11347.97,54.6,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-25
43681,18743.22,110.6,2 B/R,51-60,1,1,1,1,1,Al Barsha South Fifth,2024-08-07
189140,20085.55,28.79,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-09-18
23773,16507.54,109.45,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-06-03
130981,15469.02,111.19,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-09
16016,16452.66,51.9,1 B/R,31-40,1,1,1,1,1,Al Barsha South Fifth,2024-09-16
51637,9230.67,65.99,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-06-11
250602,15607.84,76.5,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-19
130233,6732.86,73.52,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-05-30
72833,14952.66,62.11,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-12-02
300883,12816.58,90.17,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-11-26
218209,16697.26,60.57,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-12-02
218217,12406.34,87.87,2 B/R,21-30,0,1,1,1,1,Al Barsha South Fifth,2023-01-11
268292,15647.09,112.47,2 B/R,1-10,1,1,1,0,1,Al Barsha South Fifth,2024-10-24
125246,15674.68,54.1,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-03-11
78758,18301.65,78.9,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-10-26
237758,6166.31,85.14,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-01-25
25914,12867.44,51.85,1 B/R,11-20,0,1,1,1,1,Al Barsha South Fifth,2022-08-15
35951,15978.56,75.57,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-10-28
237908,10410.28,49.06,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-12-27
232924,15440.86,65.49,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-12-18
232895,11502.77,63.83,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-03-27
227941,11163.83,51.06,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-11-13
266933,12441.31,63.9,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-09-17
125353,12932.05,42.53,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-10-23
245874,17807.16,44.95,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-24
150023,12669.69,36.36,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-11-19
286366,4622.85,129.79,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-09-08
21032,12582.72,37.15,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-12-08
237774,16187.03,65.56,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-06-13
52931,13258.65,75.43,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-11-21
98527,22645.25,32.22,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-08-17
12313,15774.97,95.33,2 B/R,1-10,1,1,1,0,1,Al Barsha South Fifth,2024-05-31
35963,12234.36,76.41,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-12-14
181995,16708.11,109.39,2 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-09-20
106167,15044.7,84.79,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-10-28
118020,13490.09,112.31,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-07-12
60875,14176.99,82.05,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-06-12
97990,10153.35,142.81,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-05-17
221743,14638.92,72.54,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-06
289028,13780.74,80.91,Studio,51-60,1,1,1,1,1,Al Barsha South Fifth,2024-07-30
286408,14278.92,114.52,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-22
181996,21098.33,42.61,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2023-09-21
208551,12229.95,53.93,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-01-29
885,14037.2,72.28,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-12-02
115609,5432.8,43.9,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-03-19
100713,5005.26,60.91,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-04-19
218214,17123.78,68.91,1 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth,2025-05-02
21023,21596.83,28.12,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-03
85782,19663.78,81.64,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-09-19
296077,15648.74,105.94,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-10-30
227935,15550.81,51.9,1 B/R,31-40,1,1,1,1,1,Al Barsha South Fifth,2024-06-26
115453,13842.24,58.12,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-06
113298,19462.85,78.6,1 B/R,31-40,1,1,1,1,1,Al Barsha South Fifth,2023-10-27
196704,20520.27,40.21,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-08-16
308476,6095.76,94.73,1 B/R,1-10,1,1,0,1,1,Al Barsha South Fifth,2024-11-05
151832,13102.49,67.47,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-05-26
6091,6226.78,43.92,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-09-16
10927,11392.85,88.21,2 B/R,11-20,0,1,1,1,1,Al Barsha South Fifth,2024-11-15
859,18426.44,57.45,1 B/R,31-40,1,1,1,1,1,Al Barsha South Fifth,2025-01-27
195375,18684.48,74.17,1 B/R,1-10,1,1,1,0,1,Al Barsha South Fifth,2024-07-26
103394,17567.09,136.38,3 B/R,31-40,1,1,1,1,1,Al Barsha South Fifth,2025-03-25
76473,16996.02,55.83,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-30
36127,8778.51,40.57,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-08-05
218235,15766.42,71.39,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-12-02
223064,19556.57,35.18,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-12-24
22963,14240.65,62.12,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-10-23
301033,3868.03,43.95,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-08-17
218367,8611.12,54.13,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-12-27
130239,17087.08,35.46,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-07-11
281497,15806.87,67.84,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-01
194021,7700.0,87.75,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-09-14
296187,10060.92,54.17,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-07-29
242716,5878.24,142.9,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-07-30
110723,14063.73,50.84,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-02-06
135265,4505.23,54.15,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-02-06
208603,10629.64,91.2,2 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-11-21
145055,11302.13,83.06,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-05-19
149993,13796.48,67.24,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-08-01
36131,9852.22,36.54,Studio,11-20,1,0,1,1,1,Al Barsha South Fifth,2022-01-05
100736,16885.35,34.87,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-11-07
120317,12244.14,154.25,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-25
266908,18860.36,30.27,Studio,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-11-20
252434,12053.55,68.93,1 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth,2023-02-24
3524,15806.21,39.94,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-15
252455,17002.34,61.16,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2025-06-25
85806,15581.17,68.09,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-06-03
242755,12511.41,35.85,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-14
300847,17755.26,29.75,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-10-28
159760,13737.0,37.49,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-12
61045,9973.54,49.13,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-28
23619,15806.21,39.94,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-04-18
105671,14043.44,74.9,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-08-07
65927,11877.16,57.96,1 B/R,21-30,0,1,1,1,1,Al Barsha South Fifth,2025-05-28
