area_name_en,pre_encode_columns,trans_group_en,rooms_en,reg_type_en,floor_bin,Grade,project_grade,Developer_grade,Developer Reputation Tier,Locality Zone,Price Tier,Developer Tier,Reputation,has_parking,swimming_pool,balcony,elevators,metro,procedure_area,Score,year,month,procedure_area_min,procedure_area_max
Al Barshaa South Third,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', 'Below 1st Floor', 'Unknown']","['B', 'B+', 'C', 'D']","['B', 'C', 'C+', 'D', 'Unknown']","['A', 'B', 'B+', 'C', 'C+', 'D', 'F', 'Unknown']","['Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']","['Outer/Remote 🏜', 'Suburban 🌳', 'Urban Core 🏢']","['Affordable ○', 'Mid-Range ●', 'Premium ▲']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Tier 4 – Emerging', 'Tier 5 – Micro/Niche', 'Unknown']","['Average —', 'Good ✓']","[0, 1]","[0, 1]","[0, 1]","[2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","[0, 1]","[26.43, 26.77, 28.49, 29.57, 29.87, 30.69, 30.7, 30.99, 31.26, 31.28]","[2.75, 3.85, 4.45, 4.95, 5.05, 5.25, 5.55, 6.15]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",26.43,293.76
Al Thanyah Fifth,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', '5 B/R', 'PENTHOUSE', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', '41-50', 'Below 1st Floor', 'Unknown']","['A', 'B', 'B+']","['B', 'B+', 'C', 'C+', 'D', 'Unknown']","['A', 'B', 'B+', 'C', 'C+', 'D', 'F', 'Unknown']","['Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']",['Prime Waterfront 🌊'],"['Affordable ○', 'Luxury ★', 'Mid-Range ●', 'Premium ▲']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Tier 4 – Emerging', 'Tier 5 – Micro/Niche', 'Unknown']","['Average —', 'Established ✔']","[0, 1]","[0, 1]","[0, 1]","[2.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 11.0, 19.0]","[0, 1]","[28.11, 28.23, 28.39, 28.7, 28.95, 29.08, 29.13, 29.39, 29.6, 29.71]","[4.85, 5.95, 7.05, 7.8, 8.15, 8.9]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",28.11,1082.9
Madinat Dubai Almelaheyah,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', '41-50', 'Below 1st Floor']","['A', 'A+', 'B+']","['A', 'B', 'B+']","['A', 'B+', 'C+', 'Unknown']","['Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed']",['Prime Waterfront 🌊'],"['Luxury ★', 'Premium ▲', 'Ultra-Luxury ◆']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Unknown']","['Average —', 'Established ✔']","[0, 1]","[0, 1]","[0, 1]","[2.0, 3.0, 4.0, 6.0]","[0, 1]","[28.52, 34.19, 34.25, 34.4, 34.52, 34.56, 34.72, 34.81, 34.82, 34.89]","[7.05, 7.8, 8.15, 8.9, 9.25, 10.0]","[2020, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",28.52,541.64
Me'Aisem First,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', 'Below 1st Floor', 'Unknown']","['B', 'C', 'D']","['B', 'C', 'C+', 'D', 'Unknown']","['A', 'B', 'B+', 'C', 'C+', 'D', 'Unknown']","['Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']","['Outer/Remote 🏜', 'Suburban 🌳']","['Affordable ○', 'Mid-Range ●', 'Premium ▲']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Tier 4 – Emerging', 'Unknown']","['Average —', 'Good ✓']","[0, 1]","[0, 1]","[0, 1]","[2.0, 3.0, 4.0, 6.0]","[0, 1]","[28.3, 30.19, 30.81, 32.26, 32.67, 33.34, 33.68, 33.93, 34.13, 34.16]","[2.75, 3.35, 3.85, 4.45, 4.95, 5.55, 5.85]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",28.3,307.57
Wadi Al Safa 3,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', '5 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', 'Below 1st Floor', 'Unknown']","['B', 'B+', 'C', 'D']","['B', 'C', 'C+', 'D', 'Unknown']","['A', 'A+', 'B', 'B+', 'C', 'C+', 'D', 'F', 'Unknown']","['Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']","['Outer/Remote 🏜', 'Suburban 🌳', 'Unknown', 'Urban Core 🏢']","['Affordable ○', 'Luxury ★', 'Mid-Range ●', 'Premium ▲']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Tier 4 – Emerging', 'Tier 5 – Micro/Niche', 'Unknown']","['Average —', 'Good ✓']","[0, 1]","[0, 1]","[0, 1]","[2.0, 3.0, 4.0, 5.0, 6.0, 8.0, 30.0]",[0],"[26.89, 27.18, 29.33, 29.38, 29.63, 30.04, 30.38, 30.79, 30.89, 32.87]","[2.75, 3.35, 3.85, 4.45, 5.55, 5.79, 5.85, 6.15, 6.65, 7.25]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",26.89,814.58
Al Hebiah Fourth,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', 'PENTHOUSE', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', 'Below 1st Floor']","['B', 'C', 'D']","['B', 'C', 'C+', 'D']","['A', 'B', 'B+', 'C', 'C+', 'D', 'F', 'Unknown']","['Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed']","['Outer/Remote 🏜', 'Suburban 🌳']","['Affordable ○', 'Mid-Range ●', 'Premium ▲']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Tier 4 – Emerging', 'Tier 5 – Micro/Niche', 'Unknown']","['Average —', 'Good ✓']","[0, 1]","[0, 1]","[0, 1]","[3.0, 4.0, 5.0, 6.0, 7.0, 12.0]",[1],"[25.67, 26.22, 26.96, 27.08, 27.12, 27.13, 27.28, 27.39, 27.9, 28.41]","[2.75, 3.35, 3.85, 4.45, 4.95, 5.55, 5.85]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25.67,455.82
Al Barsha South Fifth,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', '51-60', 'Below 1st Floor']","['B', 'C']","['B', 'C', 'C+', 'D', 'Unknown']","['A', 'A+', 'B', 'B+', 'C', 'C+', 'D', 'F', 'Unknown']","['Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']","['Outer/Remote 🏜', 'Suburban 🌳']","['Affordable ○', 'Mid-Range ●', 'Premium ▲']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Tier 4 – Emerging', 'Tier 5 – Micro/Niche', 'Unknown']","['Average —', 'Good ✓']","[0, 1]","[0, 1]","[0, 1]","[2.0, 3.0, 4.0, 5.0, 10.0, 12.0]","[0, 1]","[25.28, 28.12, 28.13, 28.57, 28.78, 28.79, 28.82, 28.91, 29.42, 29.44]","[3.35, 3.85, 4.45, 4.95, 5.25, 5.55, 5.85]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25.28,367.04
Al Warsan First,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', 'Below 1st Floor']","['B', 'C']","['C', 'C+', 'D', 'Unknown']","['A', 'C', 'C+', 'D', 'F', 'Unknown']","['Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']","['Prime Waterfront 🌊', 'Suburban 🌳']","['Affordable ○', 'Mid-Range ●']","['Tier 1 – Elite', 'Tier 3 – Mid-Tier', 'Tier 4 – Emerging', 'Tier 5 – Micro/Niche', 'Unknown']",['Average —'],"[0, 1]","[0, 1]","[0, 1]","[1.0, 2.0, 3.0, 4.0, 6.0, 8.0, 12.0]",[1],"[29.17, 33.33, 33.35, 33.63, 33.67, 33.68, 33.71, 33.76, 33.79, 33.81]","[3.35, 4.45, 5.95]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",29.17,284.38
Al Hebiah First,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', '5 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', '41-50', 'Below 1st Floor']","['B', 'B+', 'C', 'D']","['B', 'B+', 'C', 'C+', 'Unknown']","['A', 'A+', 'B', 'B+', 'C+', 'Unknown']","['Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']","['Outer/Remote 🏜', 'Suburban 🌳']","['Affordable ○', 'Luxury ★', 'Mid-Range ●', 'Premium ▲']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Unknown']","['Average —', 'Established ✔', 'Good ✓']",[1],"[0, 1]","[0, 1]","[5.0, 6.0, 8.0]","[0, 1]","[33.54, 34.09, 34.1, 34.11, 34.5, 34.78, 34.88, 35.06, 35.65, 35.68]","[2.75, 3.35, 3.85, 4.45, 4.95, 5.55, 5.7, 6.05, 6.8, 6.95]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",33.54,827.58
Nadd Hessa,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', 'PENTHOUSE', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', 'Below 1st Floor', 'Unknown']","['B', 'C']","['B', 'B+', 'C', 'C+', 'D', 'Unknown']","['A', 'B', 'C', 'C+', 'D', 'F', 'Unknown']","['Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']",['Suburban 🌳'],"['Affordable ○', 'Mid-Range ●', 'Premium ▲']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Tier 4 – Emerging', 'Tier 5 – Micro/Niche', 'Unknown']","['Average —', 'Good ✓']","[0, 1]","[0, 1]","[0, 1]","[2.0, 3.0, 4.0, 6.0, 7.0, 10.0]",[0],"[25.16, 25.71, 25.93, 27.79, 28.44, 28.47, 28.55, 28.6, 28.89, 28.93]","[3.35, 3.65, 4.45, 4.75, 5.55]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25.16,358.41
Al Barshaa South Second,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', 'Below 1st Floor']","['A', 'B', 'B+']","['B', 'C', 'C+', 'Unknown']","['A', 'B', 'B+', 'C', 'Unknown']","['Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']",['Urban Core 🏢'],"['Luxury ★', 'Mid-Range ●', 'Premium ▲']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Unknown']","['Average —', 'Good ✓']","[0, 1]","[0, 1]","[0, 1]","[3.0, 4.0, 6.0, 7.0, 8.0]",[1],"[25.11, 32.32, 33.38, 33.5, 33.69, 33.75, 33.76, 34.15, 34.32, 34.37]","[5.05, 6.15, 6.45, 7.55]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25.11,566.08
Palm Jumeirah,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', '5 B/R', '6 B/R', '7 B/R', 'PENTHOUSE', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', '41-50', 'Below 1st Floor', 'Unknown']","['A', 'A+', 'B+']","['A', 'B', 'B+', 'C+', 'Unknown']","['A', 'A+', 'B+', 'D', 'Unknown']","['Tier 1 - Market Leader', 'Tier 2 - Established Premium', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']",['Prime Waterfront 🌊'],"['Luxury ★', 'Premium ▲', 'Ultra-Luxury ◆']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 4 – Emerging', 'Unknown']","['Average —', 'Established ✔', 'Good ✓']","[0, 1]","[0, 1]","[0, 1]","[2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 12.0, 14.0]","[0, 1]","[25.42, 25.5, 28.33, 28.6, 29.23, 29.24, 29.27, 29.28, 29.36, 29.46]","[7.05, 7.8, 8.15, 8.9, 9.25, 9.55, 10.0]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25.42,2915.97
Bukadra,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R']",['Off-Plan Properties'],[],"['A', 'B+']","['A', 'B', 'B+', 'C+']","['A', 'D', 'Unknown']","['Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed']","['Unknown', 'Urban Core 🏢']","['Luxury ★', 'Premium ▲']","['Tier 1 – Elite', 'Tier 4 – Emerging', 'Unknown']","['Average —', 'Established ✔']",[1],[0],[0],[],"[0, 1]","[50.91, 50.94, 51.19, 51.27, 51.3, 51.33, 51.35, 51.36, 51.45, 51.63]","[6.15, 7.25, 7.36, 8.0]","[2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",50.91,382.51
Al Yelayiss 2,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', 'Below 1st Floor']","['B', 'C']","['B', 'C', 'C+']","['B+', 'C+', 'Unknown']","['Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record']",['Outer/Remote 🏜'],"['Mid-Range ●', 'Premium ▲']","['Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Unknown']",['Average —'],[1],"[0, 1]","[0, 1]","[2.0, 3.0, 4.0, 5.0, 6.0, 8.0]",[0],"[29.01, 29.02, 29.05, 29.06, 29.08, 29.14, 29.15, 29.18, 29.2, 29.22]","[3.85, 4.95]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",29.01,327.85
Al Jadaf,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', '5 B/R', '6 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '41-50', '51-60', '61-70', '71-80', 'Below 1st Floor', 'Unknown']","['A', 'B', 'B+']","['B', 'B+', 'C', 'C+', 'D', 'Unknown']","['A', 'A+', 'B', 'B+', 'C', 'C+', 'D', 'F', 'Unknown']","['Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']","['Suburban 🌳', 'Urban Core 🏢']","['Luxury ★', 'Mid-Range ●', 'Premium ▲']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Tier 4 – Emerging', 'Tier 5 – Micro/Niche', 'Unknown']","['Average —', 'Established ✔', 'Good ✓']","[0, 1]","[0, 1]","[0, 1]","[2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 10.0]","[0, 1]","[26.08, 28.97, 29.0, 29.01, 29.02, 29.17, 29.2, 29.37, 29.38, 29.39]","[5.05, 5.35, 6.15, 6.45, 6.65, 7.25, 7.55, 8.0]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",26.08,1330.88
Palm Deira,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', '5 B/R', 'Studio']",['Off-Plan Properties'],[],"['A', 'A+', 'B', 'B+']","['A', 'B', 'B+', 'C', 'C+']","['A', 'B', 'B+', 'C+', 'D', 'Unknown']","['Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed']",['Prime Waterfront 🌊'],"['Affordable ○', 'Luxury ★', 'Premium ▲', 'Ultra-Luxury ◆']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Tier 4 – Emerging', 'Unknown']","['Average —', 'Established ✔']","[0, 1]",[0],[0],[],"[0, 1]","[50.87, 51.2, 52.09, 52.1, 52.11, 52.12, 52.13, 52.43, 53.63, 53.85]","[4.85, 7.05, 8.15, 8.9, 9.25]","[2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",50.87,977.7
Al Wasl,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', '5 B/R', '6 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', '51-60', 'Below 1st Floor']","['A', 'A+', 'B+']","['A', 'B', 'B+', 'Unknown']","['A', 'A+', 'B+', 'Unknown']","['Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']",['Prime Central 🏙'],"['Luxury ★', 'Premium ▲', 'Ultra-Luxury ◆']","['Tier 1 – Elite', 'Tier 2 – Established', 'Unknown']","['Average —', 'Established ✔']",[1],"[0, 1]","[0, 1]","[2.0, 3.0, 4.0, 5.0, 6.0, 8.0]","[0, 1]","[36.45, 36.57, 36.58, 36.69, 36.82, 37.17, 37.8, 39.8, 39.82, 40.05]","[7.05, 8.15, 8.9, 9.25, 10.0]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",36.45,2822.76
G1,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', '5 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', '41-50']","['B', 'B+', 'C']","['B', 'B+', 'C', 'C+']","['A', 'B+', 'Unknown']","['Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed']","['Suburban 🌳', 'Unknown', 'Urban Core 🏢']","['Luxury ★', 'Mid-Range ●', 'Premium ▲']","['Tier 1 – Elite', 'Tier 2 – Established', 'Unknown']",['Average —'],[1],"[0, 1]","[0, 1]","[6.0, 7.0]","[0, 1]","[28.96, 29.59, 30.37, 30.88, 30.89, 31.04, 31.11, 31.12, 31.29, 31.3]","[4.45, 5.55, 5.79, 6.15, 7.25, 7.36]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",28.96,514.61
G2,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', 'Below 1st Floor', 'Unknown']","['B', 'B+', 'C', 'D']","['C', 'D', 'Unknown']","['B+', 'D', 'Unknown']","['Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']","['Outer/Remote 🏜', 'Suburban 🌳']","['Affordable ○', 'Luxury ★', 'Mid-Range ●', 'Premium ▲']","['Tier 2 – Established', 'Tier 4 – Emerging', 'Unknown']",['Average —'],"[0, 1]","[0, 1]","[0, 1]","[0.0, 1.0, 2.0, 3.0, 4.0, 6.0]","[0, 1]","[32.08, 32.13, 32.66, 32.7, 32.71, 32.73, 32.76, 32.77, 32.78, 32.79]","[2.75, 3.35, 3.85, 4.45, 4.95, 5.55, 6.65]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",32.08,469.81
